,team_idx,team
4916,518,Volvo Car Portugal
4937,519,Adefacec
4945,520,Amigos Do Norte
4950,521,Nrunners
4962,522,Cósmicos
4970,523,Amigos Atletismo De Gondomar
4985,524,Soccer Runners
4998,525,Spem
4999,526,Lifeclub
5017,527,"Bonitos, Jeitosos E Rapidos"
5019,528,Amândio Babo
5052,529,Decunify
5064,530,Runporto
5065,531,Virgin Active Gaia
5074,532,Cdc Navais
5078,533,Powerade
5089,534,So Nos Dois E Que Sabemos
5094,535,Paginas Amarelas
5105,536,Grupo Desportivo No Name
5112,537,Buda Team
5115,538,Domingueiros De Sofa
5136,539,Masters Leixões
5162,540,Mft.Pt
5170,541,Los Gatos
5180,542,Sex Run & Rock Nroll - Road To Vegas 2014
5199,543,Os Monarquicos
5204,544,Fisirunners
5231,545,Fast And Furious
5253,546,Bilhar
5257,547,Ribaleia United Fc
5263,548,Caixeiros
5269,549,Handrunners
5288,550,Slow Donw
5291,551,Amigos De Esposende
5292,552,The Lecastre
5304,553,Spump
5327,554,Os Manos E Afins Run For Fun
5341,555,Grupo Desportivo Banco Portugal
5347,556,Team Bala
5359,557,Falta Muito?
5365,558,Mcg - Movimento Cidadaos Por Gaia
5367,559,Virgín Active Gaia
5368,560,Lusos Xxi
5369,561,Clube Dos Marretas
5421,562,Corre Corre
5431,563,Familia Brandão E Amigos
5443,564,Carapaus De Corrida
5448,565,Corkinhos
5461,566,Fotha
5482,567,Sai Da Frente
5512,568,Sem Equipaclube
5567,569,Os Felinos
5580,570,Os Barrigas
5588,571,Inspire Studio
5609,572,Pesinhos De Lã
5624,573,Pintos
5633,574,Cabe
5638,575,Smd
5643,576,Derose Antas Running Team
5646,577,Feup Gazelas
5665,578,Paulo Silva
5677,579,Miradouro
5724,580,Grupo Desportivo Ine
5733,581,Ada Amarante
5734,582,Los Manos
5735,583,Os Ases De Gondomar
5743,584,Clube De Colaboradores Da Axa
5751,585,Sopsec S. A.
5758,586,Osflecha
5765,587,Club Veteranos Parque Da Cidade
5773,588,Os Manguelas
5775,589,Vigorosos
5800,590,Grupo    Desportivo   De    Prado
5807,591,Edp - Familia Dias
5817,592,Pés De Chumbo
5827,593,Família Silva
5835,594,Os Masters
5836,595,Cansados Do Porto
5865,596,Atlhon Runners
5869,597,Viana Do It Better
5877,598,Rito
5908,599,Barros Fiteiro
5925,600,Indibidual
5929,601,Falcone & Seninho
5934,602,Pereirinhas
5939,603,Pereira Da Cunha Sa
5950,604,Cintesis Team
5955,605,Joana Goncalves
5963,606,Gfg Team
5968,607,Runners 5
5972,608,Tribo
5979,609,Clube Amarense
6000,610,Jatapanho
6008,611,Talhos Bem Servir
6033,612,Gordos
6044,613,Adecco
6064,614,Ea Ea
6082,615,Ramadinha Team
6096,616,A C A
6139,617,Família Costa Mendes
6147,618,Os Caracois
6148,619,Caracois
6149,620,Os Caracóis
6166,621,Running Class - Holmes Place Arrábida
6172,622,Arrasta O Pe
6180,623,Nordschleife
6230,624,No Tomorrow - Running Team
6232,625,Trofense
6235,626,Espregueira
6246,627,Running Class Hp Arrabida
6265,628,Chaves Running Team
6271,629,Mama Sumae
6289,630,Casa13
6294,631,Virgin Active Health Club
6301,632,P&A Team
6311,633,Arejarocapacete- Fun (In&Out)
6414,634,Running Bauru
6421,635,Gvn
6426,636,Strike Bowl Running Team
6429,637,No Tomorrow Runing Team
6430,638,Ifive
6436,639,Bairradinas
6453,640,Edp - Speedy Gonzalez Team
6493,641,Agraclub
6498,642,Porto Canal
6517,643,Charlot Team
6536,644,Anda Cá Pai!
6539,645,Talp
6577,646,"Yes, We Run"
6579,647,Sex Run & Rock N Roll - Road To Vegas 2014
6580,648,Wellruners
6590,649,Kika Patanisca
6591,650,"Gazelas Do ""Espiche"""
6593,651,Familia Prazeres
6624,652,Clave Dideias
6646,653,Avila K.B.T Runners
6679,654,Colégio Oceanus
6697,655,Bttdouro
6715,656,Runforfun
6727,657,Cbt Runners
6781,658,Gfg
6809,659,Guimarães
6814,660,Oceanus Running Team
6827,661,Nina Suzuki 92
6830,662,Ericasousa
6834,663,One Oclock
6846,664,Pffuibeep
6890,665,Miguinhos
6899,666,3 Atletas
6932,667,Aventureiras
6951,668,Formula Azul
6976,669,Slmdesign
7028,670,Telp
7049,671,Upandaway
7056,672,Gosuper.Com
7077,673,Quarteto Los Tres
7079,674,Vaz
7130,675,Clube Colaboradores Axa
7142,676,Forking Amazing
7147,677,Leixoes
7157,678,Os Coriscos
7168,679,Associacao Amigos Almorode
7184,680,Fun-In&Out
7188,681,Frozen Snails
7190,682,Lst
7243,683,Team Friskas
7247,684,A
7253,685,Scrambled Legs
7255,686,Antas 2013
7290,687,Maia A. C.-Gosaude
7293,688,Cua Benaventense
7294,689,União Desportiva Do Varzea
7296,690,C D Povoa
7297,691,A D Ancede
7298,692,Cpt Bairro De Carcavelos
7300,693,Lince Triathlon
7303,694,Associação Desportiva De Ancede
7304,695,Os Dragões
7305,696,Amigos Da Montanha  Ferreirolux
7306,697,Associação Desportiva Rio Largo Clube De Espinho
7309,698,Atletas Coffee Amarante
7313,699,
7320,700,Cracks Clube Lamego
7321,701,Garmin
7324,702,Na Cucujaes
7325,703,C. A. Gaienses Toyota
7326,704,Sra Desterro
7329,705,Sc Braga
7333,706,Unidos 2001
7336,707,Gondomar Futsal Clube
7339,708,Iidividual
7343,709,Acd São João Serra
7348,710,Korpus Academia Saude Estetica
7351,711,Cal - Clube Atletismo De Lamas
7354,712,Ccdtc.M.Gondomar
